x,y,z,theta
1176.738516,1595.261484,0.0,0.04052
1177.737809,1595.262191,0.0,0.04052
1178.737102,1595.262898,0.0,0.04052
1179.736396,1595.263604,0.0,0.04052
1180.735689,1595.264311,0.0,0.04052
1181.734982,1595.265018,0.0,0.04052
1182.734276,1595.265724,0.0,0.04052
1183.733569,1595.266431,0.0,0.04052
1184.732862,1595.267138,0.0,0.04052
1185.732155,1595.267845,0.0,0.04052
1186.731449,1595.268551,0.0,0.04052
1187.730742,1595.269258,0.0,0.04052
1188.730035,1595.269965,0.0,0.04052
1189.729329,1595.270671,0.0,0.04052
1190.728622,1595.271378,0.0,0.04052
1191.727915,1595.272085,0.0,0.04052
1192.727208,1595.272792,0.0,0.04052
1193.726502,1595.273498,0.0,0.04052
1194.725795,1595.274205,0.0,0.04052
1195.725088,1595.274912,0.0,0.04052
1196.724382,1595.275618,0.0,0.04052
1197.723675,1595.276325,0.0,0.04052
1198.722968,1595.277032,0.0,0.04052
1199.722261,1595.277739,0.0,0.04052
1200.721555,1595.278445,0.0,0.04052
1201.720848,1595.279152,0.0,0.04052
1202.720141,1595.279859,0.0,0.04052
1203.719435,1595.280565,0.0,0.04052
1204.718728,1595.281272,0.0,0.04052
1205.718021,1595.281979,0.0,0.04052
1206.717314,1595.282686,0.0,0.04052
1207.716608,1595.283392,0.0,0.04052
1208.715901,1595.284099,0.0,0.04052
1209.715194,1595.284806,0.0,0.04052
1210.714488,1595.285512,0.0,0.04052
1211.713781,1595.286219,0.0,0.04052
1212.713074,1595.286926,0.0,0.04052
1213.712367,1595.287633,0.0,0.04052
1214.711661,1595.288339,0.0,0.04052
1215.710954,1595.289046,0.0,0.04052
1216.710247,1595.289753,0.0,0.04052
1217.709541,1595.290459,0.0,0.04052
1218.708834,1595.291166,0.0,0.04052
1219.708127,1595.291873,0.0,0.04052
1220.70742,1595.29258,0.0,0.04052
1221.706714,1595.293286,0.0,0.04052
1222.706007,1595.293993,0.0,0.04052
1223.7053,1595.2947,0.0,0.04052
1224.704594,1595.295406,0.0,0.04052
1225.703887,1595.296113,0.0,0.04052
1226.70318,1595.29682,0.0,0.04052
1227.702473,1595.297527,0.0,0.04052
1228.701767,1595.298233,0.0,0.04052
1229.70106,1595.29894,0.0,0.04052
1230.700353,1595.299647,0.0,0.04052
1231.699647,1595.300353,0.0,0.04052
1232.69894,1595.30106,0.0,0.04052
1233.698233,1595.301767,0.0,0.04052
1234.697527,1595.302473,0.0,0.04052
1235.69682,1595.30318,0.0,0.04052
1236.696113,1595.303887,0.0,0.04052
1237.695406,1595.304594,0.0,0.04052
1238.6947,1595.3053,0.0,0.04052
1239.693993,1595.306007,0.0,0.04052
1240.693286,1595.306714,0.0,0.04052
1241.69258,1595.30742,0.0,0.04052
1242.691873,1595.308127,0.0,0.04052
1243.691166,1595.308834,0.0,0.04052
1244.690459,1595.309541,0.0,0.04052
1245.689753,1595.310247,0.0,0.04052
1246.689046,1595.310954,0.0,0.04052
1247.688339,1595.311661,0.0,0.04052
1248.687633,1595.312367,0.0,0.04052
1249.686926,1595.313074,0.0,0.04052
1250.686219,1595.313781,0.0,0.04052
1251.685512,1595.314488,0.0,0.04052
1252.684806,1595.315194,0.0,0.04052
1253.684099,1595.315901,0.0,0.04052
1254.683392,1595.316608,0.0,0.04052
1255.682686,1595.317314,0.0,0.04052
1256.681979,1595.318021,0.0,0.04052
1257.681272,1595.318728,0.0,0.04052
